isClosed,active_days,first_funding_days,founded_year,first_milestone_at,milestones,funding_total_usd,category_web,lng,relationships,lat,funding_rounds,country_USA,category_network_hosting,country_code_generalized,category_other,category_public_relations,country_other,category_games_video,category_analytics,category_education,category_travel,category_semiconductor,country_FRA,country_ESP,category_social,category_biotech,category_finance,category_health,category_music,target
0,4015.0,5655.0,2008,2009,3.0,3200000.0,1,-122.4194155,5.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3650.0,6361.0,2011,2012,2.0,3400000.0,0,-115.1398296,5.0,36.1699412,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5655.0,2007,2008,3.0,3400000.0,0,-122.2363548,4.0,37.4852152,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5110.0,6659.0,2007,2011,2.0,3400000.0,0,6.1431577,7.0,46.2043907,1.0,0,0,0.08798596901490792,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,6263.0,2010,2010,1.0,267835.75,1,-79.6441198,1.0,43.5890452,1.0,0,0,0.039023677287342885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5655.0,2007,2007,2.0,267835.75,0,-122.4194155,7.0,37.7749295,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4745.0,5655.0,2008,2008,2.0,267835.75,0,-97.7430608,8.0,30.267153,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,5655.0,2008,2010,2.0,700000.0,0,-96.7969879,3.0,32.7766642,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,6305.0,2008,2011,3.0,3400000.0,0,-75.4876445,4.0,40.0419021,2.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5475.0,6045.504393673111,2006,2008,2.0,1000000.0,0,-88.2433829,6.0,40.1164204,1.0,1,0,0.6983338205203157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,4745.0,6020.0,2008,2013,1.0,522000.0,0,-74.6514481,3.0,40.3439888,2.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,3285.0,6659.0,2012,2013,1.0,1250000.0,0,-73.9441579,6.0,40.6781784,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,6110.0,2011,2011,2.0,3000000.0,0,-74.0059728,5.0,40.7127753,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4015.0,6385.0,2011,2012,2.0,500000.0,0,-122.6764815,7.0,45.5230622,1.0,1,0,0.6983338205203157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4015.0,6354.0,2010,2011,3.0,2100000.0,0,12.5683372,4.0,55.6760968,2.0,0,0,0.08798596901490792,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4380.0,5655.0,2009,2009,1.0,267835.75,0,-0.1277583,1.0,51.5073509,1.0,0,0,0.06883952060800935,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,4380.0,5655.0,2009,2011,3.0,1080450.0,0,-6.2603097,3.0,53.3498053,1.0,0,0,0.00950014615609471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,5927.0,2010,2010,1.0,459938.0,0,-8.807683,2.0,39.7495331,2.0,0,0,0.08798596901490792,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,6124.0,2011,2011,1.0,450000.0,1,-72.3845301,1.0,41.2960159,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5110.0,6200.0,2007,2009,1.0,1600000.0,0,34.7817676,2.0,32.0852999,1.0,0,0,0.019877228880444315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5655.0,2007,2009,1.0,3400000.0,0,-122.4194155,2.0,37.7749295,2.0,1,0,0.6983338205203157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4745.0,5655.0,2008,2007,1.0,1000000.0,0,-92.770531,3.0,45.1984344,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5110.0,6491.0,2007,2007,3.0,500000.0,0,-122.4194155,6.0,37.7749295,1.0,1,0,0.6983338205203157,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,6084.0,2010,2013,1.0,267835.75,0,-82.4571776,2.0,27.950575,1.0,1,0,0.6983338205203157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4015.0,6201.0,2010,2013,1.0,507080.0,0,1.7977124,3.0,41.7615593,1.0,0,0,0.017831043554516222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,3285.0,6365.0,2012,2011,1.0,267835.75,0,-74.0059728,3.0,40.7127753,1.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4380.0,5655.0,2009,2009,2.0,267835.75,0,-73.7284647,2.0,40.8006567,1.0,1,0,0.6983338205203157,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,5110.0,5655.0,2007,2011,2.0,3400000.0,0,-8.4863157,6.0,51.8968917,3.0,0,0,0.00950014615609471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4015.0,5775.0,2009,2010,3.0,3400000.0,0,-74.0059728,9.0,40.7127753,2.0,1,0,0.6983338205203157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
